time,node,metric,value
2026-07-20T23:10:02.942666104Z,CC8DA20CDB50,humidity,62.0
2026-07-20T23:10:02.969935651Z,CC8DA20CDB50,humidity,62.0
2026-07-20T23:10:07.953030215Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:10:07.971664925Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:10:12.94592329Z,CC8DA20CDB50,humidity,61.9
2026-07-20T23:10:12.969102804Z,CC8DA20CDB50,humidity,61.9
2026-07-20T23:10:17.943228972Z,CC8DA20CDB50,humidity,61.6
2026-07-20T23:10:17.975278801Z,CC8DA20CDB50,humidity,61.6
2026-07-20T23:10:22.942505148Z,CC8DA20CDB50,humidity,61.1
2026-07-20T23:10:22.964100611Z,CC8DA20CDB50,humidity,61.1
2026-07-20T23:10:27.954884638Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:10:27.972125739Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:10:32.953314873Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:10:32.975252405Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:10:37.971241347Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:10:37.992267244Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:10:42.952839707Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:10:42.979409486Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:10:47.960089937Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:10:47.985829229Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:10:52.948502466Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:10:52.968547711Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:10:57.945980311Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:10:57.961968281Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:11:02.969857516Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:11:02.996298501Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:11:07.962930063Z,CC8DA20CDB50,humidity,62.5
2026-07-20T23:11:07.987962976Z,CC8DA20CDB50,humidity,62.5
2026-07-20T23:11:12.951977544Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:11:12.972026456Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:11:17.965152029Z,CC8DA20CDB50,humidity,59.0
2026-07-20T23:11:17.996367611Z,CC8DA20CDB50,humidity,59.0
2026-07-20T23:11:22.952758983Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:11:22.976233493Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:11:27.953903078Z,CC8DA20CDB50,humidity,58.8
2026-07-20T23:11:27.974049099Z,CC8DA20CDB50,humidity,58.8
2026-07-20T23:11:32.992397225Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:11:33.030135212Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:11:37.969402976Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:11:37.995168637Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:11:42.962155556Z,CC8DA20CDB50,humidity,58.3
2026-07-20T23:11:42.983424543Z,CC8DA20CDB50,humidity,58.3
2026-07-20T23:11:47.976159072Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:11:48.000575828Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:11:52.954807051Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:11:52.975742728Z,CC8DA20CDB50,humidity,59.8
2026-07-20T23:11:57.963667594Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:11:57.98901891Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:12:02.959344259Z,CC8DA20CDB50,humidity,62.7
2026-07-20T23:12:02.978534998Z,CC8DA20CDB50,humidity,62.7
2026-07-20T23:12:07.969868063Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:12:07.989182486Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:12:12.970669568Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:12:12.994774495Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:12:17.960457219Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:12:17.977032292Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:12:22.96268021Z,CC8DA20CDB50,humidity,57.3
2026-07-20T23:12:23.109312372Z,CC8DA20CDB50,humidity,57.3
2026-07-20T23:12:27.960011351Z,CC8DA20CDB50,humidity,58.1
2026-07-20T23:12:27.976099228Z,CC8DA20CDB50,humidity,58.1
2026-07-20T23:12:32.965354212Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:12:32.988132788Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:12:37.979727445Z,CC8DA20CDB50,humidity,57.4
2026-07-20T23:12:38.006592832Z,CC8DA20CDB50,humidity,57.4
2026-07-20T23:12:42.98040427Z,CC8DA20CDB50,humidity,62.3
2026-07-20T23:12:43.001068025Z,CC8DA20CDB50,humidity,62.3
2026-07-20T23:12:47.975130574Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:12:47.994439052Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:12:52.972316068Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:12:52.99712154Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:12:57.965639695Z,CC8DA20CDB50,humidity,58.9
2026-07-20T23:12:57.987256677Z,CC8DA20CDB50,humidity,58.9
2026-07-20T23:13:02.991678184Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:13:03.016161605Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:13:08.012188922Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:13:08.034913795Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:13:13.030097165Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:13:13.051078804Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:13:17.993752645Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:13:18.013365175Z,CC8DA20CDB50,humidity,59.4
2026-07-20T23:13:22.986117433Z,CC8DA20CDB50,humidity,60.2
2026-07-20T23:13:23.00498277Z,CC8DA20CDB50,humidity,60.2
2026-07-20T23:13:27.973281115Z,CC8DA20CDB50,humidity,58.6
2026-07-20T23:13:27.993560727Z,CC8DA20CDB50,humidity,58.6
2026-07-20T23:13:32.980012867Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:13:33.003409063Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:13:37.974735241Z,CC8DA20CDB50,humidity,61.1
2026-07-20T23:13:37.997234802Z,CC8DA20CDB50,humidity,61.1
2026-07-20T23:13:43.006090715Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:13:43.028392094Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:13:47.983595012Z,CC8DA20CDB50,humidity,61.7
2026-07-20T23:13:48.009451136Z,CC8DA20CDB50,humidity,61.7
2026-07-20T23:13:52.981707643Z,CC8DA20CDB50,humidity,60.0
2026-07-20T23:13:53.01331135Z,CC8DA20CDB50,humidity,60.0
2026-07-20T23:13:57.977576865Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:13:57.997179506Z,CC8DA20CDB50,humidity,57.7
2026-07-20T23:14:02.984809554Z,CC8DA20CDB50,humidity,59.9
