phase,metric,n,mean,median,p95,std,min,max
alpha,avg_lat_ms,44426,109.3,32.73,504.9,174.9,13.75,1647
alpha,jitter_ms,44426,158.1,48.23,845.7,276.8,3.56,1904
alpha,throughput_bps,44426,67.62,67,74,4.907,61.7,74.2
alpha,loss_pct,44426,0.6399,0.68,1.16,0.3434,0.11,1.41
alpha,deadline_pct,44426,0,0,0,0,0,0
alpha,ram_mb,44426,0.1009,0.1,0.11,0.002817,0.1,0.12
alpha,crypto_cpu_us,44426,0,0,0,0,0,0
alpha,crypto_ram_kb,44426,0,0,0,0,0,0
bravo,avg_lat_ms,73123,172.2,48.84,549.1,187.9,16.74,1784
bravo,jitter_ms,73123,159.5,71.73,895.8,274.3,3.54,1750
bravo,throughput_bps,73123,105.1,106.5,116.1,7.308,91.2,116.4
bravo,loss_pct,73123,0.5903,0.64,1.24,0.4205,0.01,1.51
bravo,deadline_pct,73123,0.007355,0,0.03,0.01029,0,0.03
bravo,ram_mb,73123,0.1011,0.1,0.11,0.003141,0.1,0.12
bravo,crypto_cpu_us,73123,357.5,361,379,21.11,331,572
bravo,crypto_ram_kb,73123,7572,0.2,0.2,1.78e+05,0,4.194e+06
bravo,hs_latency_ms,108,1008,834,2731,740.1,525,5056
bravo,hs_req_bytes,108,26,26,26,0,26,26
bravo,hs_resp_bytes,108,1540,1540,1540,0,1540,1540
charlie,avg_lat_ms,44523,177.5,111.8,582.4,199.8,14.24,1603
charlie,jitter_ms,44523,167.8,92.43,901.7,285.1,2.93,1758
charlie,throughput_bps,44523,103.2,99.3,115,7.771,94.1,115
charlie,loss_pct,44523,0.7606,0.82,1.37,0.4354,0.02,1.64
charlie,deadline_pct,44523,0,0,0,0,0,0
charlie,ram_mb,44523,0.1006,0.1,0.11,0.002344,0.1,0.12
charlie,crypto_cpu_us,44523,677.1,661,712,37.19,638,1110
charlie,crypto_ram_kb,44523,1.14e+04,0.17,0.2,2.184e+05,0.02,4.194e+06
charlie,hs_latency_ms,66,866.2,757.5,1174,599.1,495,4351
charlie,hs_req_bytes,66,178,178,178,0,178,178
charlie,hs_resp_bytes,66,153,153,153,0,153,153
alpha,power_w,3030,10.61,10.6,11.6,0.6182,9.1,12.7
alpha,energy_wh,3030,256.3,256.3,256.3,0,70.63,327
bravo,power_w,10761,15.48,15.5,16.8,0.7951,13.8,19.4
bravo,energy_wh,10761,375.8,375.8,375.8,0,110.1,485.9
charlie,power_w,7130,11.79,11.8,13,0.801,10.5,16.8
charlie,energy_wh,7130,284.5,284.5,284.5,0,84.78,369.3
test,power_w,8766,12.28,12.2,14,1.044,10.2,15.5
test,energy_wh,8766,281.7,281.7,281.7,0,60.76,342.5
