,result,table,_start,_stop,_time,_value,_field,_measurement,action,category,dest_ip,phase,proto,sensor,severity,signature,src_ip,vlan
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:03:33.623621298Z,1,count,suricata_alerts,allowed,A Network Trojan was detected,151.101.130.132,bravo,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.20.50,20
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:03:33.623621298Z,80,dest_port,suricata_alerts,allowed,A Network Trojan was detected,151.101.130.132,bravo,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.20.50,20
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:03:33.623621298Z,2009001,sid,suricata_alerts,allowed,A Network Trojan was detected,151.101.130.132,bravo,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.20.50,20
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:03:33.623621298Z,54808,src_port,suricata_alerts,allowed,A Network Trojan was detected,151.101.130.132,bravo,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.20.50,20
,_result,4,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:29.195401863Z,1,count,suricata_alerts,allowed,A Network Trojan was detected,151.101.2.132,charlie,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.30.50,30
,_result,5,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:29.195401863Z,80,dest_port,suricata_alerts,allowed,A Network Trojan was detected,151.101.2.132,charlie,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.30.50,30
,_result,6,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:29.195401863Z,3009001,sid,suricata_alerts,allowed,A Network Trojan was detected,151.101.2.132,charlie,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.30.50,30
,_result,7,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:29.195401863Z,37592,src_port,suricata_alerts,allowed,A Network Trojan was detected,151.101.2.132,charlie,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.30.50,30
,_result,8,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:53:12.922420136Z,1,count,suricata_alerts,allowed,A Network Trojan was detected,151.101.66.132,alpha,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.100.50,100
,_result,9,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:53:12.922420136Z,80,dest_port,suricata_alerts,allowed,A Network Trojan was detected,151.101.66.132,alpha,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.100.50,100
,_result,10,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:53:12.922420136Z,1009001,sid,suricata_alerts,allowed,A Network Trojan was detected,151.101.66.132,alpha,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.100.50,100
,_result,11,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:53:12.922420136Z,42684,src_port,suricata_alerts,allowed,A Network Trojan was detected,151.101.66.132,alpha,TCP,alpha,1,MSI-TESE T1041 ICS field asset outbound to Internet — possible C2/exfiltration,192.168.100.50,100
,_result,12,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:40.642091617Z,1,count,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.20.100,bravo,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,20
,_result,13,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:40.642091617Z,1883,dest_port,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.20.100,bravo,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,20
,_result,14,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:40.642091617Z,2000001,sid,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.20.100,bravo,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,20
,_result,15,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:40.642091617Z,44171,src_port,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.20.100,bravo,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,20
,_result,16,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:44.606561881Z,1,count,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.30.100,charlie,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,30
,_result,17,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:44.606561881Z,1883,dest_port,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.30.100,charlie,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,30
,_result,18,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:44.606561881Z,3000001,sid,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.30.100,charlie,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,30
,_result,19,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:44.606561881Z,46641,src_port,suricata_alerts,allowed,Attempted User Privilege Gain,192.168.30.100,charlie,TCP,alpha,1,MSI-TESE MQTT anonymous CONNECT — no credentials,192.168.1.64,30
,_result,20,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:40.561186434Z,1,count,suricata_alerts,allowed,Potential Corporate Privacy Violation,192.168.20.100,bravo,TCP,alpha,1,MSI-TESE MQTT CONNECT from unauthorized host,192.168.1.64,20
,_result,21,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:24:40.561186434Z,1883,dest_port,suricata_alerts,allowed,Potential Corporate Privacy Violation,192.168.20.100,bravo,TCP,alpha,1,MSI-TESE MQTT CONNECT from unauthorized host,192.168.1.64,20
