,result,table,_start,_stop,_time,_value,_field,_measurement,sensor
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:01.725009593Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:09.903849915Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:18.210315754Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:25.809683419Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:33.926462123Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:42.007064981Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:50.075653139Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:58.197187646Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:05.794094819Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:13.903519359Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:22.007643678Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:30.142262214Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:37.740521795Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:45.838324789Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:53.957485728Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:02.080176188Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:09.728077775Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:18.00693376Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:26.141885085Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:33.775729261Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:41.909453905Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:50.090819886Z,0,alerts,suricata_stats,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:57.744418517Z,0,alerts,suricata_stats,alpha
