,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,node,phase
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:05.010628011Z,52.62,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:09.930670508Z,52.51,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:14.853538093Z,52.55,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:19.856206349Z,52.57,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:25.284350574Z,52.58,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:29.86992511Z,52.43,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:34.870144436Z,52.58,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:40.319203346Z,52.65,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:44.866701499Z,52.7,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:49.858849655Z,52.81,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:54.882694588Z,52.76,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:59.878774058Z,52.89,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:04.889510598Z,52.93,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:10.118661095Z,52.92,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:14.923279385Z,52.91,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:19.973248783Z,52.82,humidity,telemetry_environment,1.0.0-KN-PLAIN,DCB4D90B7B78,alpha
