,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:06.746782216Z,630,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:06.769157999Z,630,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.196361069Z,830,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:04:07.223698568Z,830,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:04:08.36228919Z,919,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:04:08.392603408Z,919,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:04:08.702764085Z,525,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:04:08.724115294Z,525,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:04:09.510187433Z,754,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:04:09.536398923Z,754,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:04:13.994022283Z,992,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:04:14.020436721Z,992,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:04:15.173274895Z,5056,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:04:15.198615994Z,5056,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:04:18.140467112Z,839,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:04:18.159452266Z,839,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:04:19.411319206Z,929,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:04:19.433248382Z,929,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:04:19.563492329Z,657,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:04:19.585078598Z,657,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:04:19.901814507Z,691,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:04:19.924226809Z,691,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:04:20.578779922Z,741,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:04:20.598040033Z,741,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:04:21.633028857Z,533,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:04:21.665390027Z,533,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:04:22.101608594Z,892,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:04:22.124539265Z,892,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.103026329Z,795,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.128435936Z,795,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.441932465Z,675,hs_latency_ms,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
