,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,node,phase
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:00.505418952Z,61.74,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:05.500844943Z,61.65,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:10.507582188Z,61.74,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:15.506658295Z,61.87,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:20.491682227Z,61.75,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:25.498460007Z,61.7,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:30.514411875Z,61.84,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:35.508661727Z,61.97,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:40.498024065Z,61.93,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:45.493053446Z,62.02,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:50.513806012Z,61.9,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:00:55.525433342Z,61.85,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:00.540831657Z,61.8,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:05.553643143Z,61.81,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:10.519088946Z,61.87,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:15.537472569Z,61.97,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:20.518982066Z,61.92,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:25.510732937Z,62.04,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:30.517576325Z,62.19,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:35.515480957Z,62.18,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:40.5228311Z,62.13,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:45.516470751Z,62,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:50.507658014Z,61.86,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:55.501687735Z,61.79,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:00.536210549Z,61.7,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:05.518951478Z,61.72,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:10.527311111Z,61.64,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:15.527418Z,61.72,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:20.525568795Z,61.85,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:25.518673523Z,61.83,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:30.527209728Z,61.76,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:35.539116884Z,61.79,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:40.528179739Z,61.83,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:45.539257884Z,61.77,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:50.536329317Z,61.73,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:02:55.530529904Z,61.72,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:00.5219947Z,61.64,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:05.545777531Z,61.76,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:10.534296408Z,61.7,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:15.538091282Z,61.78,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:20.527111413Z,61.64,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:25.520497395Z,61.74,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:30.530901378Z,61.8,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:35.543011068Z,61.67,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:40.542796865Z,61.72,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:45.545956577Z,61.75,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:50.523813081Z,61.79,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:55.540957283Z,61.72,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:00.544238437Z,61.76,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:05.551257263Z,61.66,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:10.538438168Z,61.8,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:15.529603909Z,61.86,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:20.556617043Z,61.82,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:25.548876681Z,61.82,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:30.530430264Z,61.9,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:35.554740198Z,61.84,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:40.558369312Z,61.73,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:45.550256842Z,61.83,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:50.544278927Z,61.82,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:55.546065648Z,61.94,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:05:00.546731065Z,62.09,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:05:05.551885405Z,62.15,humidity,telemetry_environment,1.0.0-KN-AES128GCM,E8F60A859440,charlie
