time,node,metric,value
2026-07-20T23:10:00.367141638Z,CC8DA20C9C14,humidity,57.2
2026-07-20T23:10:05.396499547Z,CC8DA20C9C14,humidity,60.1
2026-07-20T23:10:10.370324036Z,CC8DA20C9C14,humidity,57.6
2026-07-20T23:10:15.367956862Z,CC8DA20C9C14,humidity,59.9
2026-07-20T23:10:20.373000321Z,CC8DA20C9C14,humidity,58.3
2026-07-20T23:10:25.373965084Z,CC8DA20C9C14,humidity,60.2
2026-07-20T23:10:30.405476546Z,CC8DA20C9C14,humidity,58.0
2026-07-20T23:10:35.385236616Z,CC8DA20C9C14,humidity,60.9
2026-07-20T23:10:40.377013824Z,CC8DA20C9C14,humidity,58.3
2026-07-20T23:10:45.374943544Z,CC8DA20C9C14,humidity,61.7
2026-07-20T23:10:50.377065808Z,CC8DA20C9C14,humidity,57.1
2026-07-20T23:10:55.377516246Z,CC8DA20C9C14,humidity,58.2
2026-07-20T23:11:00.382123932Z,CC8DA20C9C14,humidity,61.3
2026-07-20T23:11:05.389775372Z,CC8DA20C9C14,humidity,58.8
2026-07-20T23:11:10.381736082Z,CC8DA20C9C14,humidity,62.5
2026-07-20T23:11:15.379829025Z,CC8DA20C9C14,humidity,59.1
2026-07-20T23:11:20.386365852Z,CC8DA20C9C14,humidity,59.0
2026-07-20T23:11:25.377775166Z,CC8DA20C9C14,humidity,61.4
2026-07-20T23:11:30.378370248Z,CC8DA20C9C14,humidity,61.2
2026-07-20T23:11:35.400761568Z,CC8DA20C9C14,humidity,61.0
2026-07-20T23:11:40.384173389Z,CC8DA20C9C14,humidity,59.6
2026-07-20T23:11:45.385066364Z,CC8DA20C9C14,humidity,61.7
2026-07-20T23:11:50.385517691Z,CC8DA20C9C14,humidity,60.6
2026-07-20T23:11:55.388471348Z,CC8DA20C9C14,humidity,60.4
2026-07-20T23:12:00.380907868Z,CC8DA20C9C14,humidity,58.6
2026-07-20T23:12:05.400966438Z,CC8DA20C9C14,humidity,59.8
2026-07-20T23:12:10.39489366Z,CC8DA20C9C14,humidity,61.8
2026-07-20T23:12:15.391207417Z,CC8DA20C9C14,humidity,62.5
