time,node,metric,value
2026-07-20T23:10:00.571907084Z,CC8DA20D4484,humidity,59.4
2026-07-20T23:10:05.572161108Z,CC8DA20D4484,humidity,62.1
2026-07-20T23:10:10.566913329Z,CC8DA20D4484,humidity,57.6
2026-07-20T23:10:15.572847675Z,CC8DA20D4484,humidity,57.7
2026-07-20T23:10:20.572650167Z,CC8DA20D4484,humidity,58.7
2026-07-20T23:10:25.569032614Z,CC8DA20D4484,humidity,61.4
2026-07-20T23:10:30.576704352Z,CC8DA20D4484,humidity,60.3
2026-07-20T23:10:35.592838609Z,CC8DA20D4484,humidity,57.4
2026-07-20T23:10:40.57691257Z,CC8DA20D4484,humidity,61.8
2026-07-20T23:10:45.574891429Z,CC8DA20D4484,humidity,59.4
2026-07-20T23:10:50.577853207Z,CC8DA20D4484,humidity,60.9
2026-07-20T23:10:55.574658391Z,CC8DA20D4484,humidity,60.4
2026-07-20T23:11:00.583639321Z,CC8DA20D4484,humidity,62.0
2026-07-20T23:11:05.591087283Z,CC8DA20D4484,humidity,61.9
2026-07-20T23:11:10.580578548Z,CC8DA20D4484,humidity,57.1
2026-07-20T23:11:15.580650111Z,CC8DA20D4484,humidity,62.6
2026-07-20T23:11:20.582787452Z,CC8DA20D4484,humidity,57.2
2026-07-20T23:11:25.591547031Z,CC8DA20D4484,humidity,62.2
2026-07-20T23:11:30.63677724Z,CC8DA20D4484,humidity,58.1
2026-07-20T23:11:35.622514778Z,CC8DA20D4484,humidity,61.1
2026-07-20T23:11:40.590823189Z,CC8DA20D4484,humidity,60.6
2026-07-20T23:11:45.581266502Z,CC8DA20D4484,humidity,58.6
2026-07-20T23:11:50.588318448Z,CC8DA20D4484,humidity,58.6
2026-07-20T23:11:55.588490583Z,CC8DA20D4484,humidity,61.6
2026-07-20T23:12:00.590990883Z,CC8DA20D4484,humidity,57.1
2026-07-20T23:12:05.600445345Z,CC8DA20D4484,humidity,62.0
2026-07-20T23:12:10.594126315Z,CC8DA20D4484,humidity,58.1
2026-07-20T23:12:15.590489334Z,CC8DA20D4484,humidity,57.5
2026-07-20T23:12:20.592542675Z,CC8DA20D4484,humidity,62.5
2026-07-20T23:12:25.593492081Z,CC8DA20D4484,humidity,61.0
2026-07-20T23:12:30.594135453Z,CC8DA20D4484,humidity,59.3
2026-07-20T23:12:35.603303806Z,CC8DA20D4484,humidity,59.5
2026-07-20T23:12:40.600880463Z,CC8DA20D4484,humidity,62.7
2026-07-20T23:12:45.595366795Z,CC8DA20D4484,humidity,60.2
2026-07-20T23:12:50.597267545Z,CC8DA20D4484,humidity,61.3
2026-07-20T23:12:55.599012221Z,CC8DA20D4484,humidity,59.1
2026-07-20T23:13:00.607121694Z,CC8DA20D4484,humidity,59.2
2026-07-20T23:13:05.605276457Z,CC8DA20D4484,humidity,58.7
2026-07-20T23:13:10.601329405Z,CC8DA20D4484,humidity,62.5
2026-07-20T23:13:15.599747703Z,CC8DA20D4484,humidity,58.0
2026-07-20T23:13:20.602746183Z,CC8DA20D4484,humidity,62.3
2026-07-20T23:13:25.605655812Z,CC8DA20D4484,humidity,57.5
2026-07-20T23:13:30.600816916Z,CC8DA20D4484,humidity,61.9
2026-07-20T23:13:35.651388391Z,CC8DA20D4484,humidity,58.0
