time,node,metric,value
2026-07-20T23:10:00.102953196Z,alpha,power_w,10.5
2026-07-20T23:11:00.046815183Z,alpha,power_w,10.7
2026-07-20T23:11:27.188198735Z,alpha,power_w,11.8
2026-07-20T23:11:38.518198736Z,alpha,power_w,10.7
2026-07-20T23:12:00.048025795Z,alpha,power_w,10.6
2026-07-20T23:13:00.039055257Z,alpha,power_w,10.6
2026-07-20T23:14:00.032832595Z,alpha,power_w,10.6
2026-07-20T23:15:00.037299188Z,alpha,power_w,10.7
2026-07-20T23:16:00.052804989Z,alpha,power_w,10.7
2026-07-20T23:16:17.117291879Z,alpha,power_w,11.8
2026-07-20T23:16:23.362811526Z,alpha,power_w,10.6
2026-07-20T23:17:00.076528713Z,alpha,power_w,10.8
2026-07-20T23:18:00.036574696Z,alpha,power_w,11.1
2026-07-20T23:18:01.979892888Z,alpha,power_w,12.0
2026-07-20T23:18:09.616506661Z,alpha,power_w,10.6
2026-07-20T23:19:00.035211248Z,alpha,power_w,10.7
2026-07-20T23:20:00.058799908Z,alpha,power_w,10.3
2026-07-20T23:20:21.898413753Z,alpha,power_w,11.6
2026-07-20T23:20:31.053635641Z,alpha,power_w,10.6
2026-07-20T23:20:52.660463966Z,alpha,power_w,11.7
2026-07-20T23:20:59.751876777Z,alpha,power_w,11.0
2026-07-20T23:21:00.029664754Z,alpha,power_w,11.0
2026-07-20T23:21:20.706736786Z,alpha,power_w,11.7
2026-07-20T23:21:35.87484103Z,alpha,power_w,10.7
2026-07-20T23:22:00.055059015Z,alpha,power_w,10.1
2026-07-20T23:23:00.08802894Z,alpha,power_w,11.0
2026-07-20T23:24:00.183677397Z,alpha,power_w,10.2
2026-07-20T23:25:00.02818752Z,alpha,power_w,10.2
2026-07-20T23:25:20.987153357Z,alpha,power_w,9.6
2026-07-20T23:25:27.058475875Z,alpha,power_w,11.1
2026-07-20T23:25:50.830599808Z,alpha,power_w,10.1
2026-07-20T23:25:57.030021198Z,alpha,power_w,11.2
2026-07-20T23:26:00.065928115Z,alpha,power_w,10.7
2026-07-20T23:26:20.651395189Z,alpha,power_w,10.1
2026-07-20T23:26:27.761760879Z,alpha,power_w,11.1
2026-07-20T23:26:51.521265261Z,alpha,power_w,9.7
2026-07-20T23:26:57.581507662Z,alpha,power_w,11.1
2026-07-20T23:27:00.097034136Z,alpha,power_w,10.7
2026-07-20T23:27:06.948471951Z,alpha,power_w,10.0
2026-07-20T23:27:24.454989343Z,alpha,power_w,11.2
2026-07-20T23:27:35.761310753Z,alpha,power_w,10.0
2026-07-20T23:27:57.362082666Z,alpha,power_w,11.1
2026-07-20T23:28:00.098973887Z,alpha,power_w,10.7
2026-07-20T23:28:10.785352058Z,alpha,power_w,9.8
2026-07-20T23:28:17.95869219Z,alpha,power_w,11.0
2026-07-20T23:28:41.620249589Z,alpha,power_w,9.8
2026-07-20T23:28:47.816990906Z,alpha,power_w,10.9
2026-07-20T23:29:00.08140291Z,alpha,power_w,10.7
2026-07-20T23:29:20.704059274Z,alpha,power_w,9.6
2026-07-20T23:29:26.776471628Z,alpha,power_w,11.0
2026-07-20T23:29:55.685320401Z,alpha,power_w,9.5
2026-07-20T23:30:00.057835607Z,alpha,power_w,11.2
2026-07-20T23:30:00.745061045Z,alpha,power_w,11.2
2026-07-20T23:30:15.243193767Z,alpha,power_w,9.8
2026-07-20T23:30:22.437175631Z,alpha,power_w,10.9
2026-07-20T23:30:40.962589293Z,alpha,power_w,9.8
2026-07-20T23:30:47.147419918Z,alpha,power_w,10.9
2026-07-20T23:30:55.523707929Z,alpha,power_w,9.9
2026-07-20T23:31:00.076392517Z,alpha,power_w,10.6
2026-07-20T23:31:01.463728295Z,alpha,power_w,11.1
2026-07-20T23:31:10.22008814Z,alpha,power_w,10.4
