phase,metric,n,mean,median,p95,std,min,max
alpha,avg_lat_ms,51249,107.3,46.12,466.6,164.4,13.75,1647
alpha,jitter_ms,51249,152.3,71.48,785.3,259.6,3.56,1904
alpha,throughput_bps,51249,67.6,67,74,4.907,61.7,74.2
alpha,loss_pct,51249,0.6464,0.68,1.14,0.3218,0.11,1.41
alpha,deadline_pct,51249,0,0,0,0,0,0
alpha,ram_mb,51249,0.1008,0.1,0.11,0.002648,0.1,0.12
alpha,crypto_cpu_us,51249,0,0,0,0,0,0
alpha,crypto_ram_kb,51249,0,0,0,0,0,0
bravo,avg_lat_ms,76829,169.6,40.92,546.9,187.2,16.74,1784
bravo,jitter_ms,76829,157.5,53.97,891.7,273.4,3.54,1750
bravo,throughput_bps,76829,105.1,106.5,116.1,7.259,91.2,116.4
bravo,loss_pct,76829,0.594,0.65,1.23,0.4133,0.01,1.51
bravo,deadline_pct,76829,0.007423,0,0.03,0.01024,0,0.03
bravo,ram_mb,76829,0.1011,0.1,0.11,0.003111,0.1,0.12
bravo,crypto_cpu_us,76829,357.4,361,379,21,331,572
bravo,crypto_ram_kb,76829,7643,0.2,0.2,1.789e+05,0,4.194e+06
bravo,hs_latency_ms,120,1044,834,2731,762.3,525,5056
bravo,hs_req_bytes,120,26,26,26,0,26,26
bravo,hs_resp_bytes,120,1540,1540,1540,0,1540,1540
charlie,avg_lat_ms,49595,183.5,175.4,552.2,191.3,14.24,1603
charlie,jitter_ms,49595,165,102.7,865.6,272.6,2.93,1758
charlie,throughput_bps,49595,103,99.3,115,7.789,94.1,115
charlie,loss_pct,49595,0.7634,0.81,1.35,0.4142,0.02,1.64
charlie,deadline_pct,49595,0,0,0,0,0,0
charlie,ram_mb,49595,0.1005,0.1,0.11,0.002231,0.1,0.12
charlie,crypto_cpu_us,49595,677,661,712,36.91,638,1121
charlie,crypto_ram_kb,49595,1.083e+04,0.17,0.2,2.128e+05,0.02,4.194e+06
charlie,hs_latency_ms,72,841.5,746.5,1128,580.2,495,4351
charlie,hs_req_bytes,72,178,178,178,0,178,178
charlie,hs_resp_bytes,72,153,153,153,0,153,153
alpha,power_w,3751,10.57,10.6,11.6,0.6281,9.1,12.7
alpha,energy_wh,3751,256.3,256.3,256.3,0,70.63,327
bravo,power_w,12250,15.47,15.5,16.8,0.8103,13.7,19.4
bravo,energy_wh,12250,375.8,375.8,375.8,0,110.1,485.9
charlie,power_w,8367,11.76,11.7,13,0.7872,10.4,16.8
charlie,energy_wh,8367,284.5,284.5,284.5,0,84.78,369.3
test,power_w,10111,12.2,12.2,14,1.046,10.2,15.5
test,energy_wh,10111,281.7,281.7,281.7,0,60.76,342.5
